composicion,estrofa,caracter,verso,duracion,velocidad_m,minf0,maxf0,stMm,pendiente_v,st_t,pendiente_t
0,2,n,8,1.5176500433853555,5.271307463053044,210.58568007019875,474.2506894265404,14.05491042219048,0.009423139197925912,3.5911748909439645,11.939296790609065
0,2,n,9,1.1593596521649054,6.9003608889281,245.50278463187453,436.75549460099444,9.973037574932652,-0.011393009952846896,-3.4643321533080114,-18.323442954515478
0,2,n,10,1.44527460775344,5.535280255449405,193.40757410494334,303.9184547989248,7.824479859166354,-0.020752892275276512,-6.312122376233402,-16.29744497512987
0,3,a,1,1.4114500681877757,5.667929868940783,57.53997417514785,410.4771189435614,34.01598391206288,-0.013868437082009192,-4.915316170036247,-20.451516255834427
0,3,a,2,1.1552474380354596,6.924923385767721,225.4723075028289,330.4392138029401,6.617215817343687,-0.01697916727499428,-4.534581794077144,-23.387673468743593
0,3,a,3,1.5269867883543924,5.239076107935069,221.44767154978706,311.5053334122624,5.907492439296212,-0.008493424120946148,-2.1868677522658526,-16.466863258264635
0,3,a,4,1.429989083137805,5.594448303371458,218.4148476706726,339.8251967188616,7.652662726208305,-0.024522552204234226,-6.246013208836286,-21.49696823757872
0,3,a,5,1.4294674248207286,5.596489896230612,239.96862284846233,413.1372803406119,9.40530567050581,-0.01792976363197661,-6.468871111554287,-24.63804026195549
0,3,a,6,1.4028705770213108,5.7025930481671745,204.4694533622492,331.840890057899,8.383276085560876,-0.01140389933427638,-3.0593673483297854,-26.55900704709363
0,3,a,7,1.1874717880643857,6.737002159049385,219.84899432310974,279.8115828279965,4.17531301365784,-0.0028668332655013384,-0.34567699729326645,-4.504098701504723
0,3,a,8,1.4739971509159275,5.427418903102273,222.14946869234657,462.8208589954616,12.707078354508226,0.010730984230584618,3.983079920726433,9.058525212783916
0,3,a,9,1.3611296809058402,5.877470833400643,218.09234013055726,421.92409034170146,11.42453234702675,-0.009367216229970578,-2.956758766396407,-11.00741313395268
0,3,a,10,0.994646863376623,8.04305557536434,150.308832963787,300.8528096276217,12.013536451654096,0.005583648191714217,0.6253685974719922,6.0713729061401684
0,4,d,1,1.2692580863413738,6.302894648526475,228.55565762978435,346.24814057474526,7.191129503802026,-0.022759169914539204,-5.62086492303056,-38.53553293503121
0,4,d,2,1.2241568490158983,6.535110273190248,214.4462561489666,297.58727894610695,5.672360725705029,-0.020241254681997622,-4.111510851128099,-25.6580358502725
0,4,d,3,1.2119739565075633,6.60080190423636,217.96668453182625,361.50009823618177,8.758660780947032,-0.017921108699372818,-4.986563262921965,-30.724923581218405
